osm_id,id,com_nom
node/4798913772,014aa2d0-16e3-4261-93dd-68ba3e7c69f4,Bouleurs
way/363947777,55ae8e69-77a8-4cc6-8eb8-b7446eb212af,Boullay-les-Troux
way/63996758,81c6e04d-b812-48af-b81e-e6d962a9836d,Boulogne-Billancourt
way/326156720,52ab8a8a-a761-45f5-965e-420d9dc05964,Bouqueval
node/3484291363,ce9d7c88-adb0-4085-9b34-da66cd8ef549,Bouray-sur-Juine
node/7272225381,d8827474-2743-43d6-8d0f-cc4c76732664,Bourdonné
way/78652615,e30182c4-5d53-4bda-8fd7-62183b66e0ec,Bourg-la-Reine
node/4798915901,1daafc6f-24a0-45ec-b68c-487390f7a40f,Bourron-Marlotte
way/149665640,7b70141e-1502-489c-87f7-2ed6f7ce99d4,Boussy-Saint-Antoine
node/3499142871,13ce7863-3a93-4152-8d4b-410d3faff534,Boutervilliers
node/4798913795,b0e52474-e354-4da1-9c99-f0298dae3f64,Boutigny
way/146230451,6cd0e172-e17c-4762-936f-1a0a0c177989,Boutigny-sur-Essonne
node/3484318831,7bfa7f14-2460-4772-8bcb-26d5f8ceedc4,Bouville
way/755370480,d2d0d944-ae70-4897-8f2a-b44fff4b61c4,Bouéni
node/4798913788,0726c665-7fe0-4cc5-a1e0-10aba37d38b0,Bransles
relation/2972562,ddb044ae-b297-41ee-a265-f1b1663f24c2,Bras-Panon
node/1564292030,d9f6a75c-0ac3-4b01-b2af-95deb9bc78d9,Bray-et-Lû
node/2736241740,1debd90f-6812-43ec-bf78-3195aa0ba41b,Bray-sur-Seine
node/700914955,be413ab8-7ac4-4fd2-9edb-f282d2ea2171,Breuil-Bois-Robert
node/7043969162,2c3c7f2a-24fd-4f3b-8a5b-e72db06d81fa,Breuillet
node/3499148838,c2c4b1ab-9744-4e44-874e-c20b49236625,Breux-Jouy
way/113064466,2b2cf805-dd15-4c3f-ae22-164126d32443,Brie-Comte-Robert
node/500854542,1f099887-d46a-4dfe-8247-241dec0c4a95,Brignancourt
way/361165464,a38074c9-31b5-4bb4-b58c-6989c8913994,Briis-sous-Forges
way/83022539,32c53bcc-453d-47c7-9dee-926f50fbf1bc,Brières-les-Scellés
node/8228934441,934c7856-db77-45b3-be39-cff986bfd112,Brou-sur-Chantereine
node/3510166496,7eb7fbed-a2f5-415f-8665-0a74d095dbfb,Brouy
node/577365011,580086b8-0ac6-4ad3-b2d5-731c2bb630d3,Brueil-en-Vexin
way/23598514,48381145-366d-483e-9cd4-7eaf1467c495,Brunoy
node/3485960152,d7ea2710-1f2a-4ad2-9577-a1bd273bfce0,Bruyères-le-Châtel
way/437311254,27b396e0-2b6f-4a94-9d54-e4e1be7b8800,Bruyères-sur-Oise
way/120400775,9d0cfea8-f4c3-4a5f-b342-786e50640bcd,Bry-sur-Marne
way/401934246,c665ae08-35be-44fc-bc85-f63f84fc22df,Bréançon
node/9309443763,d2ef5a67-bebc-4404-81b5-91432e22e3aa,Bréau
way/143644745,0b9cb713-8963-4e10-a1e8-1fe1cf37c44a,Brétigny-sur-Orge
way/107206478,3f810a28-bfd7-43d7-bdb7-cf828c86baf0,Bréval
way/637927969,15014a6f-c392-47b4-bba5-ecd9ddd76801,Buc
node/1560522411,65308127-eba2-4786-a744-8a5594b79343,Buchelay
node/11198601801,3e73ca85-8aed-4595-9112-e23a8af2faff,Buhy
node/11044001249,3ab88809-2f11-4c6e-8d66-f12d3efa512d,Bullion
node/3499181178,54726d99-ac0a-4f05-bda1-d966299816bd,Buno-Bonnevaux
node/3878093990,188dbbae-5ad1-4db4-9ade-216c47171a8c,Burcy
way/46112886,c7ad71d0-f72d-47fb-b0e2-e5bc13343c47,Bures-sur-Yvette
way/115362941,6de2dc02-a4ba-4bc5-92b5-cb43a86ce0b1,Bussières
way/113171363,75cc4bd0-7e62-4e64-b32e-3b0b50733ec5,Bussy-Saint-Georges
node/4798915889,11fd6e3d-5b3d-4d91-9ef6-f3db637cf5e9,Bussy-Saint-Martin
node/3877912093,70566176-044e-4eee-a30e-81b119509dba,Buthiers
node/588669408,b05f684e-d6d1-41ae-8125-843bc27e248d,Butry-sur-Oise
